mmsi,turnrate,shipLength,heading,course,cargo_type,lon,shipWidth,ship_name,speed,lat,postime,ship_status,callsign,destination,imo
413781115,0.0,70.0,511.0,14.2,货轮,118.29018666666668,13.0,WANJINHAI1588,0.0,31.407316666666667,20241022143026,,,DANGTU,0.0
413793855,0.0,88.0,511.0,95.4,货轮,118.29601,16.0,HUAQING 9668,5.1,31.30319,20241022143022,1.0,,TAICANG,0.0
413819604,0.0,110.0,511.0,287.1,货轮,118.28290833333334,20.0,HUAXIANG1888,0.0,31.299666666666667,20241022143025,1.0,,NANTONG,0.0
413789702,0.0,0.0,94.0,94.1,未知,118.29284,0.0,LONGYUNHENGTONG,5.0,31.303608333333333,20241022143024,,,,
413792576,0.0,60.0,273.0,273.3,未知,118.307255,10.0,WANSHUNXIN89,5.3,31.30630333333333,20241022143025,0.0,0000000,YANCHENG,0.0
413876376,0.0,26.0,511.0,262.1,装备排污设施的船舶,118.30994,6.0,,5.8,31.298995,20241022143026,,,,
413870106,0.0,68.0,511.0,97.7,货轮,118.31003,11.0,HENG RUN 6,4.5,31.30116,20241022143032,0.0,,WUHAN,0.0
413798013,0.0,0.0,0.0,1.3,未知,118.34953333333333,0.0,SHENGTONG83,5.2,31.31625333333333,20241022143024,,,,
413817592,0.0,76.0,162.0,162.6,货轮,118.33827166666669,13.0,,6.0,31.34839,20241022143024,,0000000,,
413812843,0.0,63.0,511.0,348.7,货轮,118.34937333333332,12.0,WANYINGHE9966,4.4,31.32725,20241022143032,,,,0.0
413840914,0.0,0.0,511.0,187.5,未知,118.33641666666666,0.0,LONG CHANG 5001,6.5,31.372066666666665,20241022143032,,,,
413806616,0.0,0.0,511.0,359.3,未知,118.34425,0.0,ZHENGTAOZHONGHUA958,4.0,31.373591666666663,20241022143027,1.0,,,
413820428,0.0,92.0,0.0,356.6,货轮,118.341595,14.0,JIANGYUHENGTONG,4.4,31.384396666666667,20241022143024,0.0,0123B,NANJING,0.0
413977068,0.0,68.0,511.0,23.6,货轮,118.3476,13.0,WAN SHOU XIAN 9,4.1,31.30734,20241022143028,,,TAIZHOU,0.0
413819754,0.0,55.0,511.0,22.8,货轮,118.34714666666666,10.0,HONGDA9718,5.4,31.30899,20241022143032,,,,0.0
413970173,0.0,60.0,511.0,182.1,货轮,118.30662166666669,11.0,WANYINGHE2698,4.3,31.46582,20241022143023,,,,0.0
413825489,0.0,83.0,511.0,358.3,油轮（载有A类危险、有害或污染货物),118.34248,14.0,WANJIANG18,7.5,31.36961,20241022143027,,,ZHENJIANG,0.0
413790804,0.0,66.0,511.0,344.8,货轮,118.34561333333332,12.0,WANHONGSHUN1178,4.1,31.34536,20241022143028,,,,0.0
413835013,0.0,110.0,511.0,174.1,货轮,118.33998666666666,17.0,,6.6,31.35381,20241022143032,,16HAO,,
413769378,0.0,64.0,2.0,2.0,货轮,118.34433666666666,12.0,WANZHONGXING658,4.0,31.36949333333333,20241022143024,1.0,0000000,WUHU,0.0
413772348,0.0,60.0,511.0,352.8,货轮,118.34321333333334,11.0,,5.5,31.35067,20241022143032,,0000000,,
413833533,0.0,0.0,511.0,2.3,未知,118.34404,0.0,MING YANG 6598,3.8,31.36655,20241022143031,,,,
413796641,0.0,57.0,511.0,357.2,货轮,118.34477833333334,9.0,JIA FU 5288,3.7,31.396895,20241022143029,15.0,,,0.0
413863526,0.0,0.0,511.0,330.1,未知,118.33951166666668,0.0,HUIFENG7779,4.1,31.43699833333333,20241022143032,0.0,,,
413828414,0.0,109.0,197.0,197.7,货轮,118.34161666666668,19.0,,4.2,31.402401666666663,20241022143031,,,,
413834857,0.0,100.0,511.0,189.0,货轮,118.34281833333333,16.0,YU XIN HUO 18998,5.2,31.412586666666662,20241022143027,0.0,,0,0.0
412554560,0.0,112.0,511.0,360.0,货轮,118.3474,19.0,SHENGDAXUYUAN,0.0,31.4037,20241022143025,0.0,00,WUHU,0.0
413827703,0.0,0.0,511.0,39.5,未知,118.34849333333334,0.0,CHANGHANGJIYUN,0.0,31.40848666666667,20241022143022,,,,
413982499,0.0,82.0,166.0,166.3,货轮,118.34115333333334,14.0,,4.9,31.34025833333333,20241022143031,,0,,
413766584,0.0,73.0,511.0,349.7,货轮,118.34771333333332,12.0,CHENG XING 189,4.1,31.33401333333333,20241022143030,0.0,,0,0.0
1222,0.0,0.0,511.0,0.0,未知,118.34585,0.0,CHANGJIANGGONAN3008,0.0,31.38531,20241022143029,0.0,,,0.0
413997309,0.0,0.0,511.0,118.0,,118.35011666666666,0.0,,0.1,31.4193,20241022143029,,,,
